result_id,triad_id,distance_hist1_to_centroid,distance_hist2_to_centroid,distance_hist3_to_centroid,mean_historian_distance,distance_abstract1_to_centroid,distance_abstract2_to_centroid,distance_abstract3_to_centroid,mean_abstract_distance,distance_final_to_centroid,convergence_delta,abstract_distance_variance,mean_pairwise_abstract_similarity,bias_weight_1,bias_weight_2,bias_weight_3,dominant_historian_position,bias_score,mean_source_embedding_distance,source_embedding_variance,created_at
1,1,0.35082465410232544,0.3567236661911011,0.32894885540008545,0.34549905856450397,0.502890408039093,0.6162298321723938,0.8326388001441956,0.6505863467852274,0.5731266438961029,0.07745970288912452,0.018712518730821002,0.1913741926352183,0.41465411832225685,0.3666023277424963,0.2187435539352469,1,0.08132078498892353,0.8661181330680847,0.031192004680633545,2026-03-13 15:41:03.838089
2,2,0.3076489567756653,0.3101738691329956,0.3900523781776428,0.33595840136210126,0.6377533972263336,0.5594449639320374,0.6439909934997559,0.6137297848860422,0.5330921411514282,0.08063764373461402,0.001479905494215888,0.3030886749426524,0.343898721888367,0.3186059354672253,0.33749534264440767,1,0.010565388555033695,0.8857409358024597,0.021293167024850845,2026-03-13 15:41:04.135329
3,3,0.3529243469238281,0.321702241897583,0.31812262535095215,0.3309164047241211,0.45362144708633423,0.411754846572876,0.47408992052078247,0.44648873805999756,0.3776651620864868,0.06882357597351074,0.0006730480097090208,0.4949620266755422,0.3760263257586615,0.3013490977045027,0.32262457653683574,1,0.0426929924253282,0.8812171816825867,0.022907288745045662,2026-03-13 15:41:04.459178
4,4,0.3528292179107666,0.3191927671432495,0.31693530082702637,0.32965242862701416,0.7194331288337708,0.35003066062927246,0.40502506494522095,0.4914962848027547,0.3729034662246704,0.11859281857808429,0.026481666517754198,0.3041234215100606,0.30614626870044337,0.3341185835628804,0.35973514773667636,3,0.02640181440334305,0.8809242844581604,0.022011587396264076,2026-03-13 15:41:04.775104
5,5,0.31957077980041504,0.39383262395858765,0.2899305820465088,0.3344446619351705,0.6784147024154663,0.6812244951725006,0.5546064972877502,0.6380818982919058,0.6708468794822693,-0.03276498119036353,0.003485387108958528,0.5014195342858633,0.35711191121010927,0.3115726866488516,0.33131540214103905,1,0.023778577876775953,0.8732309937477112,0.030388716608285904,2026-03-13 15:41:05.340313
6,6,0.2921367883682251,0.3069190979003906,0.4077005386352539,0.33558547496795654,0.53480264544487,0.7616344690322876,0.6268925070762634,0.6411098738511404,0.5760207772254944,0.06508909662564599,0.008676512791004577,0.3213486025730769,0.33329967649748127,0.3111744111260667,0.3555259123764521,3,0.022192579043118776,0.9145971536636353,0.018103010952472687,2026-03-13 15:41:05.795163
7,7,0.31361865997314453,0.35050255060195923,0.31640052795410156,0.3268405795097351,0.635451465845108,0.6610831320285797,0.53073450922966,0.6090897023677826,0.5966376662254333,0.012452036142349243,0.0031792651977463984,0.5870382785797119,0.34931049535069253,0.3170075565648968,0.3336819480844107,1,0.015977162017359214,0.8806564807891846,0.025171656161546707,2026-03-13 15:41:06.093193
8,8,0.31977295875549316,0.3888164758682251,0.2812448740005493,0.32994476954142254,0.5509231090545654,0.6111844480037689,0.5193783938884735,0.5604953169822693,0.49523651599884033,0.06525880098342896,0.0014505388443423566,0.45783008138338727,0.3166905874427936,0.3369743878333026,0.34633502472390393,3,0.013001691390570613,0.8773739337921143,0.02120332419872284,2026-03-13 15:41:06.738392
9,9,0.28337085247039795,0.30899763107299805,0.4007737636566162,0.3310474157333374,0.5856875479221344,0.4804881811141968,0.6590730547904968,0.575082927942276,0.5769529044628143,-0.00186997652053833,0.005371655166788614,0.41008556882540387,0.3519711656343957,0.302983745481327,0.3450450888842774,1,0.018637832301062363,0.8953090310096741,0.021923337131738663,2026-03-13 15:41:07.450149
10,10,0.3025118112564087,0.2941148281097412,0.38661229610443115,0.32774631182352704,0.6242648959159851,0.6426718235015869,0.5956584811210632,0.6208650668462118,0.5597429871559143,0.06112207969029748,0.00037415514581656193,0.38709543148676556,0.362067717207934,0.3259351710640529,0.311997111728013,1,0.0287343838746007,0.9067290425300598,0.017346009612083435,2026-03-13 15:41:08.303007
