feature,coefficient,abs_coefficient
mean_pairwise_abstract_similarity,-0.0021700116610788188,0.0021700116610788188
dominant_historian_position,0.0018444577994651697,0.0018444577994651697
abstract_distance_variance,0.001581386763120223,0.001581386763120223
angle_variance,-0.0014690917715067756,0.0014690917715067756
area,0.0009039652151252151,0.0009039652151252151
bias_score,0.0006664007239828675,0.0006664007239828675
mean_historian_distance,0.00023355713644157314,0.00023355713644157314
perimeter,0.00023150139424569477,0.00023150139424569477
