feature,coefficient,abs_coefficient
mean_pairwise_abstract_similarity,-0.027000922588073455,0.027000922588073455
dominant_historian_position,-0.009453273913073377,0.009453273913073377
abstract_distance_variance,0.006917377674711498,0.006917377674711498
area,0.005186470646088176,0.005186470646088176
bias_score,0.0022889924066776387,0.0022889924066776387
perimeter,0.0008609590955939383,0.0008609590955939383
mean_historian_distance,0.0008439686487649706,0.0008439686487649706
angle_variance,0.000478300749458071,0.000478300749458071
