result_id,triad_id,distance_hist1_to_centroid,distance_hist2_to_centroid,distance_hist3_to_centroid,mean_historian_distance,distance_abstract1_to_centroid,distance_abstract2_to_centroid,distance_abstract3_to_centroid,mean_abstract_distance,distance_final_to_centroid,converged,convergence_delta,abstract_distance_variance,mean_pairwise_abstract_similarity,bias_weight_1,bias_weight_2,bias_weight_3,dominant_historian_position,bias_score,created_at
1,1,0.08549737930297852,0.05560171604156494,0.06912577152252197,0.07007495562235515,0.2687925100326538,0.317211389541626,0.19375288486480713,0.2599189281463623,0.25080931186676025,False,0.00910961627960205,0.0025797039572523772,0.6181850632031759,0.3424287003461053,0.3268919587885079,0.3306793408653868,1,0.009095367012771971,2026-03-13 02:21:24.786285
2,2,0.07989388704299927,0.08508086204528809,0.11776936054229736,0.09424803654352824,0.31296437978744507,0.3866886496543884,0.5250342190265656,0.4082290828227997,0.2489790916442871,False,0.15924999117851257,0.00772759791635913,0.44127466281255084,0.3384960409312888,0.3261662217485705,0.33533773732014066,1,0.005162707597955507,2026-03-13 02:21:24.910698
3,3,0.08802211284637451,0.15101319551467896,0.06776785850524902,0.1022677222887675,0.3668695092201233,0.4101482629776001,0.2601381540298462,0.3457186420758565,0.2861058712005615,False,0.059612770875294985,0.003974185054896711,0.4528702199459076,0.34161487836160953,0.33630630241720605,0.32207881922118436,1,0.008281545028276216,2026-03-13 02:21:25.025148
4,4,0.10067760944366455,0.07647228240966797,0.1492939591407776,0.1088146169980367,0.4660989046096802,0.4153226613998413,0.4648420810699463,0.44875454902648926,0.43095338344573975,False,0.01780116558074951,0.0005591088227087463,0.32842562596003216,0.39820178835030023,0.36073306618494366,0.24106514546475596,1,0.06486845501696692,2026-03-13 02:21:25.152471
5,5,0.13090026378631592,0.09206026792526245,0.11135917901992798,0.11143990357716878,0.1998993158340454,0.2626248598098755,0.4828106164932251,0.31511159737904865,0.225447416305542,False,0.08966418107350665,0.014717229483772423,0.5179040829340616,0.3825297433716352,0.3053864918095734,0.3120837648187914,1,0.049196410038301885,2026-03-13 02:21:25.571723
6,6,0.10031616687774658,0.08137542009353638,0.15907007455825806,0.113587220509847,0.33961212635040283,0.29589927196502686,0.40928393602371216,0.3482651114463806,0.32831376791000366,False,0.019951343536376953,0.0021801174161524273,0.48316426078478497,0.36455000108366653,0.3498622878502821,0.2855877110660513,1,0.031216667750333216,2026-03-13 02:21:25.828496
7,7,0.1043325662612915,0.141770601272583,0.10235297679901123,0.11615204811096191,0.5042717456817627,0.4567650556564331,0.42723017930984497,0.4627556602160136,0.4674173593521118,False,-0.004661699136098207,0.0010071774963344006,0.4375314911206563,0.3308044804060365,0.34220558249943384,0.3269899370945296,2,0.008872249166100521,2026-03-13 02:21:25.952864
8,8,0.13692891597747803,0.11330091953277588,0.11012035608291626,0.12011673053105672,0.38003814220428467,0.3148154020309448,0.37892550230026245,0.357926348845164,0.3576505184173584,False,0.0002758304278056012,0.0009294831955352201,0.5021110872427622,0.37799527465509486,0.30908659660413157,0.3129181287407736,1,0.044661941321761545,2026-03-13 02:21:26.084022
9,9,0.12266194820404053,0.15219509601593018,0.0889890193939209,0.12128202120463054,0.3567962646484375,0.6051477789878845,0.37100279331207275,0.4443156123161316,0.36035430431365967,False,0.08396130800247192,0.012967130494277038,0.3500201503435771,0.34125589174472654,0.3370891309763869,0.32165497727888664,1,0.007922558411393221,2026-03-13 02:21:26.209924
10,10,0.10158193111419678,0.13773971796035767,0.1303575038909912,0.12322638432184856,0.39886337518692017,0.45520126819610596,0.4057438373565674,0.4199361602465312,0.37511539459228516,False,0.04482076565424603,0.0006297040459589059,0.5333010256290436,0.33841428913119354,0.3374717597062703,0.3241139511625361,1,0.0050809557978602204,2026-03-13 02:21:26.345646
