result_id,triad_id,distance_hist1_to_centroid,distance_hist2_to_centroid,distance_hist3_to_centroid,mean_historian_distance,distance_abstract1_to_centroid,distance_abstract2_to_centroid,distance_abstract3_to_centroid,mean_abstract_distance,distance_final_to_centroid,converged,convergence_delta,abstract_distance_variance,mean_pairwise_abstract_similarity,bias_weight_1,bias_weight_2,bias_weight_3,dominant_historian_position,bias_score,mean_source_embedding_distance,source_embedding_variance,created_at
1,1,0.35082465410232544,0.3567236661911011,0.32894885540008545,0.34549905856450397,0.47771042585372925,0.45834195613861084,0.47016292810440063,0.4687384366989136,0.34296882152557373,False,0.12576961517333984,6.353752439972975e-05,0.30688276638587314,0.3468835078868475,0.3684621084233074,0.28465438368984497,2,0.035128775089974085,0.6488801836967468,0.026603398844599724,2026-03-13 10:57:37.285114
2,2,0.3076489567756653,0.3101738691329956,0.3900523781776428,0.33595840136210126,0.4310137629508972,0.456767201423645,0.5519608855247498,0.47991394996643066,0.38503146171569824,False,0.09488248825073242,0.0027059203938672263,0.35251088937123615,0.3389848218987765,0.330535956744457,0.33047922135676644,1,0.005651488565443175,0.5957802534103394,0.021855948492884636,2026-03-13 10:57:37.434180
3,3,0.3529243469238281,0.321702241897583,0.31812262535095215,0.3309164047241211,0.47754430770874023,0.4859882593154907,0.42786145210266113,0.4637980063756307,0.31828659772872925,False,0.14551140864690143,0.0006576013529632343,0.37108959754308063,0.3437723381675676,0.34555184995247407,0.3106758118799583,2,0.012218516619140751,0.5731697678565979,0.04891643300652504,2026-03-13 10:57:37.574737
4,4,0.3528292179107666,0.3191927671432495,0.31693530082702637,0.32965242862701416,0.49504542350769043,0.5735847055912018,0.40377140045166016,0.49080050985018414,0.41827160120010376,False,0.07252890865008038,0.004815102746382354,0.4286092321077983,0.3598253713375855,0.32594934968375544,0.314225278978659,1,0.026492038004252205,0.6186760663986206,0.019843503832817078,2026-03-13 10:57:37.705274
5,5,0.31957077980041504,0.39383262395858765,0.2899305820465088,0.3344446619351705,0.4243602752685547,0.6328095197677612,0.4552965760231018,0.5041554570198059,0.3874671459197998,False,0.1166883111000061,0.008435443048173378,0.24840933084487915,0.3703480811117278,0.3506757191736313,0.27897619971464094,1,0.037014747778394474,0.6921091079711914,0.03193945065140724,2026-03-13 10:57:37.950634
6,6,0.2921367883682251,0.3069190979003906,0.4077005386352539,0.33558547496795654,0.3964567184448242,0.607406497001648,0.5916098952293396,0.5318243702252706,0.35644328594207764,False,0.175381084283193,0.009203789345534908,0.18979637573162714,0.34906526502179336,0.29048300934456844,0.3604517256336383,3,0.027118392300304994,0.6637389063835144,0.041319213807582855,2026-03-13 10:57:38.277813
7,7,0.31361865997314453,0.35050255060195923,0.31640052795410156,0.3268405795097351,0.6380598247051239,0.4481995105743408,0.3640700578689575,0.48344313104947406,0.3707160949707031,False,0.11272703607877094,0.013132788447253753,0.3608711212873459,0.313443511032273,0.3721462677975082,0.3144102211702188,2,0.038812934464174886,0.6245782375335693,0.03359583020210266,2026-03-13 10:57:38.513091
8,8,0.31977295875549316,0.3888164758682251,0.2812448740005493,0.32994476954142254,0.5752311646938324,0.5231435298919678,0.40189939737319946,0.5000913639863332,0.39267075061798096,False,0.10742061336835229,0.005273018103552789,0.2519101897875468,0.33484282586626557,0.33658275512084135,0.3285744190128931,2,0.0032494217875080333,0.703693687915802,0.033587098121643066,2026-03-13 10:57:38.786998
9,9,0.28337085247039795,0.30899763107299805,0.4007737636566162,0.3310474157333374,0.6602237224578857,0.5121622681617737,0.5500849485397339,0.5741569797197977,0.44922685623168945,False,0.12493012348810828,0.00394343038394693,0.16326253799100718,0.3835779176079208,0.2619192246387659,0.3545028577533133,1,0.0502445842745875,0.6809155941009521,0.02814672142267227,2026-03-13 10:57:38.977977
10,10,0.3025118112564087,0.2941148281097412,0.38661229610443115,0.32774631182352704,0.43678194284439087,0.609557032585144,0.5017949640750885,0.5160446465015411,0.39028120040893555,False,0.1257634460926056,0.005076731997114929,0.31510210037231445,0.36271833554549515,0.30347615206536793,0.33380551238913697,1,0.029385002212161837,0.6043259501457214,0.014355789870023727,2026-03-13 10:57:39.157482
11,11,0.34695184230804443,0.30510175228118896,0.31554609537124634,0.3225332299868266,0.5124445557594299,0.46022021770477295,0.44183915853500366,0.47150131066640216,0.3087431788444519,False,0.16275813182195026,0.0008944852154076304,0.33287834127744037,0.3469859759450738,0.30109744566109414,0.3519165783938321,3,0.0185832450604988,0.6083536744117737,0.042443081736564636,2026-03-13 10:57:39.293926
12,12,0.3207355737686157,0.2768014073371887,0.3853754997253418,0.3276374936103821,0.5687076151371002,0.4872562289237976,0.5690703690052032,0.5416780710220337,0.43567216396331787,False,0.10600590705871582,0.001480890380410808,0.2731037537256877,0.3170523675355147,0.3270216916677821,0.3559259407967032,3,0.022592607463369885,0.7197986841201782,0.03722914680838585,2026-03-13 10:57:39.431296
13,13,0.3253387212753296,0.33537089824676514,0.30166590213775635,0.3207918405532837,0.5371674299240112,0.46373969316482544,0.3888598680496216,0.4632556637128194,0.376190185546875,False,0.0870654781659444,0.003665972627109524,0.47643319765726727,0.3528604492773576,0.3650579108077329,0.28208163991490953,2,0.03172457747439961,0.6978095173835754,0.018124781548976898,2026-03-13 10:57:39.597596
14,14,0.3036254048347473,0.3538387417793274,0.3078916072845459,0.3217852512995402,0.48809105157852173,0.4813520312309265,0.45082539319992065,0.4734228253364563,0.29216837882995605,False,0.18125444650650024,0.000262891035456884,0.3300635516643524,0.3259736742271194,0.3569903960180806,0.3170359297548001,2,0.023657062684747265,0.6587522625923157,0.03824426233768463,2026-03-13 10:57:39.742388
15,15,0.3239166736602783,0.2995486855506897,0.3356877565383911,0.3197177052497864,0.50040203332901,0.6303286552429199,0.40559107065200806,0.512107253074646,0.5095295310020447,False,0.0025777220726013184,0.00848633640593969,0.4085499147574107,0.31895921215722084,0.36534357166892,0.31569721617385915,2,0.032010238335586694,0.6296456456184387,0.017232883721590042,2026-03-13 10:57:39.923850
16,16,0.29400789737701416,0.39358413219451904,0.291273832321167,0.3262886206309001,0.40209144353866577,0.5790658593177795,0.4803101420402527,0.487155814965566,0.3590102195739746,False,0.12814559539159137,0.005243422258959956,0.3370988915363948,0.3552275768762252,0.31320114557526885,0.33157127754850596,1,0.021894243542891878,0.6607914566993713,0.022968336939811707,2026-03-13 10:57:40.066908
17,17,0.300057053565979,0.351049542427063,0.3088204860687256,0.3199756940205892,0.533625066280365,0.5357168316841125,0.41673600673675537,0.49535930156707764,0.3510531187057495,False,0.14430618286132812,0.0030915404920719425,0.3478701710700989,0.328938003270916,0.35479105722222887,0.31627093950685503,2,0.021457723888895552,0.6212154626846313,0.03487812727689743,2026-03-13 10:57:40.186136
18,18,0.30954599380493164,0.282936155796051,0.37352484464645386,0.3220023314158122,0.4212874174118042,0.5151398181915283,0.5786518454551697,0.5050263603528341,0.3703848123550415,False,0.1346415479977926,0.004178401550296781,0.27776247759660083,0.31376547299764085,0.328795346897552,0.35743918010480724,3,0.024105846771473927,0.6469442248344421,0.023153679445385933,2026-03-13 10:57:40.374252
19,19,0.30260372161865234,0.4025254249572754,0.2750462293624878,0.3267251253128052,0.49849069118499756,0.5218380093574524,0.6162342131137848,0.5455209712187449,0.40000468492507935,False,0.14551628629366553,0.002591030833960851,0.22470896194378534,0.3185438773299285,0.36672240385531746,0.31473371881475415,2,0.03338907052198414,0.6834483742713928,0.032167624682188034,2026-03-13 10:57:40.563200
20,20,0.3169679045677185,0.3287391662597656,0.303130567073822,0.31627921263376874,0.6258490681648254,0.8084790408611298,0.4538698196411133,0.6293993095556895,0.4121524691581726,False,0.21724684039751685,0.020964252069344467,0.14464337875445685,0.3595741872690498,0.21133623863969758,0.4290895740912526,3,0.09575624075791928,0.5792320370674133,0.03429919853806496,2026-03-13 10:57:40.745782
21,21,0.2966426610946655,0.3872743844985962,0.28449106216430664,0.32280270258585614,0.3942214250564575,0.5770291686058044,0.4485001564025879,0.47325025002161664,0.3893505334854126,False,0.08389971653620404,0.005876062084009309,0.3849351654450099,0.39162425569883313,0.28381266360801854,0.32456308069314843,1,0.05829092236549982,0.6329023241996765,0.02191377803683281,2026-03-13 10:57:40.948537
22,22,0.2958601713180542,0.356354296207428,0.3013189435005188,0.3178444703420003,0.4014853835105896,0.4030535817146301,0.38812315464019775,0.39755403995513916,0.33966726064682007,False,0.05788677930831909,4.4880673179648056e-05,0.5925127466519674,0.32684630446083407,0.3349068683814098,0.33824682715775606,3,0.004913493824422743,0.653214693069458,0.01672404259443283,2026-03-13 10:57:41.106298
23,23,0.3031609058380127,0.3819025754928589,0.27958595752716064,0.3215498129526774,0.35806572437286377,0.5674831867218018,0.43954575061798096,0.4550315539042155,0.31380707025527954,False,0.14122448364893597,0.0074291839744881185,0.3960994978745778,0.3279395610071837,0.31347020589960756,0.3585902330932088,3,0.025256899759875495,0.6380271315574646,0.02623281069099903,2026-03-13 10:57:41.265237
24,24,0.28822481632232666,0.36738163232803345,0.2999071478843689,0.318504532178243,0.5890002250671387,0.6331225037574768,0.46426165103912354,0.5621281266212463,0.48196011781692505,False,0.08016800880432129,0.005113386100904431,0.35432042678197223,0.35027505488571187,0.29644972046901213,0.3532752246452761,3,0.019941891311942794,0.6179642677307129,0.03027316927909851,2026-03-13 10:57:41.396869
25,25,0.33847153186798096,0.3605731725692749,0.2642335295677185,0.32109274466832477,0.5474761128425598,0.638872504234314,0.6177067756652832,0.601351797580719,0.430139422416687,False,0.17121237516403198,0.0015259593806457399,0.2536444713672002,0.3448939053451931,0.3552309315744448,0.29987516308036205,2,0.021897598241111482,0.6655821204185486,0.02684597484767437,2026-03-13 10:57:41.551159
26,26,0.33263731002807617,0.3488718271255493,0.27311885356903076,0.31820933024088544,0.438348650932312,0.6414355933666229,0.5724500417709351,0.55074476202329,0.5180300772190094,False,0.032714684804280636,0.007109610615681285,0.4151228566964467,0.33634794455052114,0.3263751338477182,0.3372769216017607,3,0.003943588268427389,0.605233907699585,0.017736010253429413,2026-03-13 10:57:41.716396
27,27,0.33021146059036255,0.3513273596763611,0.27317243814468384,0.3182370861371358,0.41434240341186523,0.6612639427185059,0.43384474515914917,0.5031503637631735,0.4402714967727661,False,0.06287886699040734,0.012563342147303383,0.29669112463792163,0.32790132531626726,0.34480701799701435,0.3272916566867184,2,0.011473684663681039,0.6678540706634521,0.026919053867459297,2026-03-13 10:57:41.927878
28,28,0.31024837493896484,0.26784318685531616,0.39083439111709595,0.32297531763712567,0.4957725405693054,0.452833354473114,0.5674738585948944,0.5053599178791046,0.35689473152160645,False,0.14846518635749817,0.002236366432722884,0.24221723278363547,0.3325663109044895,0.33563845023827327,0.33179523885723716,2,0.0023051169049399522,0.6833952069282532,0.050099022686481476,2026-03-13 10:57:42.131426
