authorId,authorName,matched_papers,total_topic_citations,first_author_papers,last_author_papers,score,rank
https://openalex.org/A5033078828,Joachim Whaley,1,246,1,1,15.405071034375846,248
https://openalex.org/A5032764769,Trevor Gale,1,238,1,1,15.339221464982913,249
https://openalex.org/A5012502961,T. J. Luce,1,336,1,0,15.333313041264669,250
https://openalex.org/A5082575776,George W. Stocking,1,233,1,1,15.296936591835294,251
https://openalex.org/A5040633841,Paul Maylam,1,232,1,1,15.288371268251291,252
https://openalex.org/A5104066418,Geoffrey Parker,1,312,0,1,15.185553561640251,253
https://openalex.org/A5113861845,J. A. Chartres,1,312,1,0,15.185553561640251,254
https://openalex.org/A5024747087,Susan Kellogg,1,309,0,1,15.16629177551833,255
https://openalex.org/A5078896648,David T. Courtwright,1,309,1,0,15.16629177551833,256
https://openalex.org/A5014374577,Sam Bass Warner,1,305,1,0,15.140317384464707,257
https://openalex.org/A5068700950,Eric Herring,2,38,2,1,15.118882761487347,258
https://openalex.org/A5026281896,Thomas Klikauer,1,213,1,1,15.118246391163593,259
https://openalex.org/A5022340612,David R. Buckholdt,1,298,1,0,15.09403432734132,260
https://openalex.org/A5041702689,R. B. Outhwaite,1,298,0,1,15.09403432734132,261
https://openalex.org/A5018328428,Kathleen Canning,1,210,1,1,15.090010628072024,262
https://openalex.org/A5051805015,Andrew Levine,1,289,1,0,15.032909026520985,263
https://openalex.org/A5110156728,J. Stanley Lemons,1,288,1,0,15.02600055678481,264
https://openalex.org/A5085335914,Margaret L. Meriwether,1,201,1,1,15.002829755922301,265
https://openalex.org/A5055914775,Reynaldo C. Ileto,1,199,1,1,14.982929094215963,266
https://openalex.org/A5112818918,Carroll Pursell,1,277,1,0,14.94838940794122,267
https://openalex.org/A5026857010,Francisca de Haan,1,195,1,1,14.942523679580924,268
https://openalex.org/A5062283919,Lester D. Stephens,1,275,1,0,14.933948911994245,269
https://openalex.org/A5036616656,Ian Hacking,1,274,1,0,14.926689375893089,270
https://openalex.org/A5021527652,Stephen Shapin,1,274,0,1,14.926689375893089,271
https://openalex.org/A5067643527,Talal Asad,1,193,1,1,14.922010679246547,272
https://openalex.org/A5098501729,Mr Dick Leith,1,271,1,0,14.904751313151941,273
https://openalex.org/A5066433234,Dick Leith,1,271,0,1,14.904751313151941,274
https://openalex.org/A5006443533,Arnold Hauser,1,190,1,1,14.89084121721315,275
https://openalex.org/A5044057986,Richard Bach Jensen,1,267,1,0,14.875121141581658,276
https://openalex.org/A5101068128,Andrew D. Walker,1,188,1,1,14.869788391239176,277
https://openalex.org/A5111862821,F.R. Ankersmit,1,187,1,1,14.85917828677979,278
https://openalex.org/A5055429505,Michael Ignatieff,1,186,1,1,14.848511594829064,279
https://openalex.org/A5086117515,J. Roger Dunkle,1,186,1,1,14.848511594829064,280
https://openalex.org/A5110020493,James M. O’Toole,1,185,1,1,14.837787708546294,281
https://openalex.org/A5068392846,Wolfgang Schivelbusch,1,261,0,1,14.829836188082139,282
https://openalex.org/A5097798688,Stephen Mennell,1,261,1,0,14.829836188082139,283
https://openalex.org/A5049648843,Gregory L. Freeze,1,184,1,1,14.82700601127654,284
https://openalex.org/A5071805946,Mona Domosh,1,184,1,1,14.82700601127654,285
https://openalex.org/A5058951721,H. C. Barnard,1,260,1,0,14.822187995205333,286
https://openalex.org/A5012197619,Bernhard W. Scholz,1,260,1,0,14.822187995205333,287
https://openalex.org/A5101881781,Peter Stewart,1,182,1,1,14.805266666802734,288
https://openalex.org/A5110119092,Dipesh Chakrabarty,1,181,1,1,14.794307735273481,289
https://openalex.org/A5080153044,Alexander Bergs,1,181,1,1,14.794307735273481,290
https://openalex.org/A5029212268,Stanley Pargellis,1,256,0,1,14.791299350350386,291
https://openalex.org/A5112831855,N. S. B. Gras,1,256,1,0,14.791299350350386,292
https://openalex.org/A5064533269,Zola Marie Packman,1,254,1,0,14.775674270876797,293
https://openalex.org/A5035507088,Edith S. Lisansky,1,178,1,1,14.7610659728014,294
https://openalex.org/A5090412515,Alex Dupuy,1,251,1,0,14.752005355582792,295
